conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:9806_conv:19612,joyful,"['excited', 'confident', 'annoyed']",excited,
hit:10548_conv:21097,faithful,"['hopeful', 'excited', 'anxious']",hopeful,
hit:1675_conv:3350,embarrassed,"['embarrassed', ' annoyed', ' anxious']",embarrassed,1.0
hit:358_conv:717,angry,"['angry', ' annoyed', ' disappointed']",angry,1.0
hit:6526_conv:13053,surprised,"['disappointed', 'sad', 'anxious']",disappointed,
hit:10535_conv:21070,trusting,"['proud', ' grateful', ' excited']",proud,
hit:11471_conv:22943,jealous,"['disappointed', 'hopeful', 'confident']",disappointed,
hit:7580_conv:15161,proud,"['excited', 'proud', 'content']",excited,2.0
hit:7816_conv:15632,devastated,"['worried', 'sad', 'annoyed']",worried,
hit:110_conv:220,ashamed,"['ashamed', ' anxious', ' curious']",ashamed,1.0
hit:2764_conv:5529,impressed,"['impressed', ' joyful', ' proud']",impressed,1.0
hit:7365_conv:14730,prepared,"['content', ' hopeful', ' caring']",content,
hit:9412_conv:18824,annoyed,"['angry', 'sad', 'frustrated']",angry,
hit:1177_conv:2354,lonely,"['lonely', ' sad', ' hopeful']",lonely,1.0
hit:12355_conv:24711,trusting,"['relieved', ' hopeful', ' grateful']",relieved,
hit:3890_conv:7781,content,"['content', ' joyful', ' grateful']",content,1.0
hit:9826_conv:19652,afraid,"['anxious', 'nervous', 'afraid']",anxious,3.0
hit:11835_conv:23671,content,"['excited', 'hopeful', 'content']",excited,3.0
hit:2110_conv:4221,annoyed,"['annoyed', ' disappointed', ' surprised']",annoyed,1.0
hit:6667_conv:13334,jealous,"['disappointed', 'sad', 'lonely']",disappointed,
hit:6939_conv:13878,content,"['excited', 'jealous', 'grateful']",excited,
hit:3171_conv:6342,anxious,"['anxious', ' hopeful', ' caring']",anxious,1.0
hit:3848_conv:7696,embarrassed,"['anxious', ' apprehensive', ' hopeful']",anxious,
hit:5116_conv:10233,caring,"['concerned', 'sad', 'grateful']",concerned,
hit:5664_conv:11328,confident,"['excited', ' hopeful', ' proud']",excited,
hit:5777_conv:11555,afraid,"['afraid', 'anxious', 'surprised']",afraid,1.0
hit:11240_conv:22480,disappointed,"['disappointed', 'angry', 'sad']",disappointed,1.0
hit:12088_conv:24177,annoyed,"['annoyed', 'annoyed', 'anxious']",annoyed,1.0
hit:5045_conv:10090,anxious,"['excited', ' content', ' joyful']",excited,
hit:9275_conv:18550,sad,"['sad', 'annoyed', 'frustrated']",sad,1.0
hit:10471_conv:20942,apprehensive,"['anxious', ' grateful', ' relieved']",anxious,
hit:14_conv:28,sentimental,"['excited', 'hopeful', 'nostalgic']",excited,
hit:9264_conv:18529,surprised,"['terrified', 'surprised', 'anxious']",terrified,2.0
hit:11294_conv:22588,anxious,"['excited', ' grateful', ' relieved']",excited,
hit:4450_conv:8901,excited,"['hopeful', ' excited', ' anxious']",hopeful,2.0
hit:6948_conv:13896,disappointed,"['angry', ' disappointed', ' surprised']",angry,2.0
hit:7898_conv:15796,content,"['excited', 'hopeful', 'grateful']",excited,
hit:1448_conv:2896,content,"['proud', ' hopeful', ' content']",proud,3.0
hit:3957_conv:7914,terrified,"['anxious', 'afraid', 'hopeful']",anxious,
hit:7589_conv:15178,prepared,"['excited', ' hopeful', ' grateful']",excited,
hit:9726_conv:19452,furious,"['angry', 'annoyed', 'surprised']",angry,
hit:11143_conv:22287,grateful,"['grateful', 'excited', 'caring']",grateful,1.0
hit:300_conv:600,prepared,"['excited', 'impressed', 'hopeful']",excited,
hit:5001_conv:10003,proud,"['proud', 'hopeful', 'amused']",proud,1.0
hit:6505_conv:13011,apprehensive,"['anxious', ' apprehensive', ' hopeful']",anxious,2.0
hit:9756_conv:19512,proud,"['proud', ' grateful', ' content']",proud,1.0
hit:10210_conv:20421,sad,"['sad', 'lonely', 'disappointed']",sad,1.0
hit:1477_conv:2954,grateful,"['grateful', ' surprised', ' proud']",grateful,1.0
hit:4547_conv:9094,excited,"['excited', ' hopeful', ' content']",excited,1.0
hit:7018_conv:14036,prepared,"['excited', 'hopeful', 'grateful']",excited,
hit:11569_conv:23138,embarrassed,"['surprised', ' frustrated', ' relieved']",surprised,
hit:1510_conv:3021,content,"['embarrassed', 'sad', 'content']",embarrassed,3.0
hit:2068_conv:4136,anxious,"['anxious', 'confident', 'hopeful']",anxious,1.0
hit:6603_conv:13207,annoyed,"['angry', 'annoyed', 'frustrated']",angry,2.0
hit:11955_conv:23910,nostalgic,"['disappointed', ' frustrated', ' nostalgic']",disappointed,3.0
hit:1435_conv:2871,prepared,"['embarrassed', ' anxious', ' hopeful']",embarrassed,
hit:3236_conv:6473,terrified,"['disgusted', 'anxious', 'surprised']",disgusted,
hit:5796_conv:11592,excited,"['excited', 'hopeful', 'nostalgic']",excited,1.0
hit:8180_conv:16360,devastated,"['sad', ' disappointed', ' overwhelmed']",sad,
hit:10615_conv:21230,sentimental,"['sad', ' empathetic', ' worried']",sad,
hit:5730_conv:11461,terrified,"['afraid', 'surprised', 'sad']",afraid,
hit:702_conv:1404,disappointed,"['sad', ' guilty', ' disappointed']",sad,3.0
hit:8032_conv:16065,angry,"['angry', 'annoyed', 'surprised']",angry,1.0
hit:11617_conv:23234,devastated,"['worried', 'disappointed', 'anxious']",worried,
hit:6253_conv:12506,excited,"['excited', 'anxious', 'content']",excited,1.0
hit:7011_conv:14023,impressed,"['excited', ' proud', ' surprised']",excited,
hit:7926_conv:15852,annoyed,"['angry', ' annoyed', ' disappointed']",angry,2.0
hit:5444_conv:10889,joyful,"['excited', 'content', 'hopeful']",excited,
hit:5922_conv:11844,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:6558_conv:13117,sentimental,"['nostalgic', 'grateful', 'hopeful']",nostalgic,
hit:7085_conv:14170,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:10899_conv:21798,excited,"['excited', ' hopeful', ' grateful']",excited,1.0
hit:2203_conv:4406,disappointed,"['disappointed', ' hopeful', ' proud']",disappointed,1.0
hit:4462_conv:8925,sad,"['excited', ' hopeful', ' joyful']",excited,
hit:5139_conv:10279,annoyed,"['angry', 'annoyed', 'surprised']",angry,2.0
hit:5582_conv:11165,afraid,"['excited', 'terrified', 'grateful']",excited,
hit:11051_conv:22103,ashamed,"['guilty', ' upset', ' grateful']",guilty,
hit:3351_conv:6702,content,"['excited', 'hopeful', 'content']",excited,3.0
hit:9175_conv:18350,jealous,"['jealous', ' content', ' trusting']",jealous,1.0
hit:9823_conv:19647,surprised,"['excited', 'grateful', 'hopeful']",excited,
hit:342_conv:685,ashamed,"['disappointed', ' frustrated', ' hopeless']",disappointed,
hit:6125_conv:12250,terrified,"['relieved', 'hopeful', 'grateful']",relieved,
hit:9477_conv:18955,anticipating,"['anxious', 'hopeful', 'grateful']",anxious,
hit:3628_conv:7256,sad,"['sad', 'shocked', 'devastated']",sad,1.0
hit:4141_conv:8283,terrified,"['surprised', ' terrified', ' annoyed']",surprised,2.0
hit:8405_conv:16811,grateful,"['proud', ' grateful', ' joyful']",proud,2.0
hit:9239_conv:18478,surprised,"['sad', ' nostalgic', ' disappointed']",sad,
hit:9360_conv:18721,devastated,"['sad', 'comforting', 'sympathetic']",sad,
hit:1717_conv:3435,surprised,"['excited', ' grateful', ' joyful']",excited,
hit:3205_conv:6411,joyful,"['happy', 'grateful', 'content']",happy,
hit:5543_conv:11087,caring,"['content', ' nostalgic', ' hopeful']",content,
hit:9475_conv:18951,joyful,"['happy', 'proud', 'grateful']",happy,
hit:10494_conv:20989,confident,"['excited', 'proud', 'hopeful']",excited,
hit:5715_conv:11431,jealous,"['disappointed', 'sad', 'jealous']",disappointed,3.0
hit:6981_conv:13963,afraid,"['afraid', 'angry', 'sad']",afraid,1.0
hit:8880_conv:17761,lonely,"['lonely', ' grateful', ' hopeful']",lonely,1.0
hit:10552_conv:21104,apprehensive,"['afraid', 'anxious', 'relieved']",afraid,
hit:3303_conv:6607,surprised,"['surprised', 'happy', 'included']",surprised,1.0
hit:4400_conv:8800,proud,"['excited', ' joyful', ' amused']",excited,
hit:7976_conv:15953,embarrassed,"['embarrassed', 'anxious', 'ashamed']",embarrassed,1.0
hit:876_conv:1752,angry,"['angry', 'sad', 'frustrated']",angry,1.0
hit:10691_conv:21383,ashamed,"['embarrassed', 'anxious', 'hopeful']",embarrassed,
hit:1500_conv:3001,prepared,"['proud', ' confident', ' content']",proud,
hit:8269_conv:16539,prepared,"['anxious', 'hopeful', 'content']",anxious,
hit:10613_conv:21227,caring,"['proud', ' grateful', ' sad']",proud,
hit:3540_conv:7080,jealous,"['jealous', ' envious', ' disappointed']",jealous,1.0
hit:5984_conv:11968,excited,"['excited', ' hopeful', ' content']",excited,1.0
hit:6815_conv:13631,disgusted,"['disgusted', 'annoyed', 'embarrassed']",disgusted,1.0
hit:9251_conv:18502,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,1.0
hit:2848_conv:5697,embarrassed,"['embarrassed', ' surprised', ' awkward']",embarrassed,1.0
hit:7233_conv:14466,annoyed,"['angry', ' annoyed', ' disgusted']",angry,2.0
hit:8989_conv:17979,hopeful,"['excited', 'proud', 'hopeful']",excited,3.0
hit:10239_conv:20478,jealous,"['jealous', 'envious', 'hopeful']",jealous,1.0
hit:10799_conv:21598,terrified,"['anxious', ' hopeful', ' proud']",anxious,
hit:11957_conv:23914,furious,"['angry', 'sad', 'disappointed']",angry,
hit:4564_conv:9128,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:5850_conv:11701,jealous,"['angry', 'surprised', 'disgusted']",angry,
hit:4281_conv:8562,lonely,"['sad', 'lonely', 'ashamed']",sad,2.0
hit:5940_conv:11881,proud,"['grateful', ' proud', ' excited']",grateful,2.0
hit:6539_conv:13078,grateful,"['grateful', ' hopeful', ' proud']",grateful,1.0
hit:7342_conv:14685,angry,"['annoyed', 'disappointed', 'surprised']",annoyed,
hit:10662_conv:21324,hopeful,"['excited', 'hopeful', 'anticipating']",excited,2.0
hit:1394_conv:2789,anticipating,"['anxious', 'sad', 'hopeful']",anxious,
hit:2549_conv:5099,proud,"['proud', ' excited', ' grateful']",proud,1.0
hit:3008_conv:6016,caring,"['compassionate', ' empathetic', ' caring']",compassionate,3.0
hit:68_conv:137,prepared,"['anxious', ' relieved', ' grateful']",anxious,
hit:11714_conv:23428,trusting,"['proud', 'caring', 'faithful']",proud,
hit:11751_conv:23502,terrified,"['annoyed', ' surprised', ' grateful']",annoyed,
hit:6466_conv:12933,impressed,"['proud', ' joyful', ' grateful']",proud,
hit:7001_conv:14002,prepared,"['excited', 'proud', 'grateful']",excited,
hit:2675_conv:5351,nostalgic,"['nostalgic', ' joyful', ' hopeful']",nostalgic,1.0
hit:4285_conv:8570,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:7051_conv:14102,sad,"['proud', 'sad', 'grateful']",proud,2.0
hit:918_conv:1836,nostalgic,"['nostalgic', ' worried', ' cautious']",nostalgic,1.0
hit:1663_conv:3326,devastated,"['angry', 'sad', 'frustrated']",angry,
hit:2037_conv:4074,embarrassed,"['embarrassed', ' surprised', ' annoyed']",embarrassed,1.0
hit:2407_conv:4815,confident,"['proud', ' anxious', ' prepared']",proud,
hit:4521_conv:9043,trusting,"['excited', 'hopeful', 'confident']",excited,
hit:1333_conv:2666,grateful,"['grateful', ' relieved', ' hopeful']",grateful,1.0
hit:1631_conv:3262,excited,"['excited', ' hopeful', ' anticipating']",excited,1.0
hit:658_conv:1317,grateful,"['happy', 'excited', 'proud']",happy,
hit:8451_conv:16902,surprised,"['surprised', 'excited', 'hopeful']",surprised,1.0
hit:9174_conv:18348,prepared,"['prepared', ' hopeful', ' proud']",prepared,1.0
hit:3000_conv:6001,apprehensive,"['anxious', 'apprehensive', 'worried']",anxious,2.0
hit:3906_conv:7812,grateful,"['grateful', 'proud', 'hopeful']",grateful,1.0
hit:7836_conv:15673,excited,"['excited', 'hopeful', 'grateful']",excited,1.0
hit:9825_conv:19650,jealous,"['jealous', ' hopeful', ' excited']",jealous,1.0
hit:4101_conv:8203,annoyed,"['afraid', 'anxious', 'relieved']",afraid,
hit:4986_conv:9973,grateful,"['grateful', ' surprised', ' proud']",grateful,1.0
hit:9028_conv:18056,apprehensive,"['anxious', 'sad', 'hopeful']",anxious,
hit:9159_conv:18319,terrified,"['hopeful', 'afraid', 'excited']",hopeful,
hit:10158_conv:20316,apprehensive,"['proud', ' relieved', ' grateful']",proud,
hit:10161_conv:20322,trusting,"['relieved', ' grateful', ' hopeful']",relieved,
hit:2085_conv:4171,guilty,"['embarrassed', 'sad', 'disgusted']",embarrassed,
hit:5147_conv:10294,guilty,"['guilty', ' sad', ' caring']",guilty,1.0
hit:9208_conv:18416,terrified,"['afraid', 'anxious', 'surprised']",afraid,
hit:10640_conv:21280,nostalgic,"['nostalgic', ' hopeful', ' joyful']",nostalgic,1.0
hit:5221_conv:10443,anxious,"['anxious', ' hopeful', ' surprised']",anxious,1.0
hit:5859_conv:11718,sentimental,"['proud', ' grateful', ' content']",proud,
hit:6611_conv:13222,surprised,"['proud', ' surprised', ' grateful']",proud,2.0
hit:12218_conv:24436,sentimental,"['sad', ' nostalgic', ' interested']",sad,
hit:1898_conv:3797,lonely,"['lonely', 'sad', 'disappointed']",lonely,1.0
hit:2184_conv:4369,grateful,"['grateful', ' nostalgic', ' relieved']",grateful,1.0
hit:5630_conv:11261,caring,"['grateful', ' proud', ' hopeful']",grateful,
hit:7595_conv:15190,devastated,"['sad', ' disappointed', ' hopeful']",sad,
hit:10803_conv:21607,trusting,"['excited', 'hopeful', 'anxious']",excited,
hit:6536_conv:13072,grateful,"['proud', ' grateful', ' impressed']",proud,2.0
hit:7400_conv:14800,impressed,"['proud', ' hopeful', ' impressed']",proud,3.0
hit:7923_conv:15847,disappointed,"['disappointed', ' hopeful', ' concerned']",disappointed,1.0
hit:12262_conv:24524,furious,"['surprised', 'disgusted', 'nostalgic']",surprised,
hit:1311_conv:2623,confident,"['excited', 'confident', 'hopeful']",excited,2.0
hit:1845_conv:3690,apprehensive,"['anxious', ' annoyed', ' disappointed']",anxious,
hit:5909_conv:11818,lonely,"['sad', 'lonely', 'hopeful']",sad,2.0
hit:12297_conv:24594,devastated,"['sad', ' nostalgic', ' angry']",sad,
hit:3006_conv:6012,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:3721_conv:7443,disappointed,"['disappointed', 'sad', 'nostalgic']",disappointed,1.0
hit:7304_conv:14609,afraid,"['afraid', ' disgusted', ' anxious']",afraid,1.0
hit:958_conv:1916,hopeful,"['disappointed', ' surprised', ' frustrated']",disappointed,
hit:10813_conv:21626,ashamed,"['guilty', 'sad', 'anxious']",guilty,
hit:11992_conv:23984,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:12089_conv:24178,angry,"['sad', ' angry', ' disappointed']",sad,2.0
hit:8587_conv:17174,disappointed,"['disappointed', ' sad', ' lonely']",disappointed,1.0
hit:10064_conv:20128,trusting,"['anxious', ' hopeful', ' trusting']",anxious,3.0
hit:2684_conv:5369,lonely,"['lonely', ' hopeful', ' nostalgic']",lonely,1.0
hit:3045_conv:6090,surprised,"['excited', 'hopeful', 'content']",excited,
hit:3697_conv:7394,grateful,"['grateful', ' happy', ' hopeful']",grateful,1.0
hit:1695_conv:3391,anxious,"['anxious', ' annoyed', ' hopeful']",anxious,1.0
hit:2131_conv:4263,grateful,"['excited', ' grateful', ' proud']",excited,2.0
hit:3328_conv:6656,faithful,"['proud', ' grateful', ' loyal']",proud,
hit:5778_conv:11556,jealous,"['angry', 'annoyed', 'frustrated']",angry,
hit:919_conv:1839,anticipating,"['excited', ' impressed', ' hopeful']",excited,
hit:11797_conv:23594,prepared,"['excited', ' hopeful', ' content']",excited,
hit:3129_conv:6258,guilty,"['disappointed', 'sad', 'grateful']",disappointed,
hit:9046_conv:18092,embarrassed,"['surprised', ' disappointed', ' ashamed']",surprised,
hit:952_conv:1904,lonely,"['lonely', 'sad', 'grateful']",lonely,1.0
hit:4586_conv:9173,trusting,"['grateful', 'hopeful', 'annoyed']",grateful,
hit:5272_conv:10544,disgusted,"['surprised', 'disgusted', 'sad']",surprised,2.0
hit:6854_conv:13708,afraid,"['afraid', 'anxious', 'terrified']",afraid,1.0
hit:7143_conv:14286,disgusted,"['disgusted', 'surprised', 'annoyed']",disgusted,1.0
hit:1152_conv:2305,confident,"['proud', 'hopeful', 'grateful']",proud,
hit:11763_conv:23527,disappointed,"['disappointed', ' annoyed', ' frustrated']",disappointed,1.0
hit:448_conv:897,faithful,"['proud', ' grateful', ' relieved']",proud,
hit:6238_conv:12476,devastated,"['sad', ' grateful', ' hopeful']",sad,
hit:1793_conv:3587,anxious,"['surprised', 'anxious', 'disappointed']",surprised,2.0
hit:3691_conv:7382,caring,"['happy', 'excited', 'content']",happy,
hit:6149_conv:12298,angry,"['angry', ' frustrated', ' disappointed']",angry,1.0
hit:7283_conv:14567,annoyed,"['annoyed', 'disappointed', 'sad']",annoyed,1.0
hit:12381_conv:24762,excited,"['excited', ' joyful', ' content']",excited,1.0
hit:267_conv:534,caring,"['tired', ' content', ' relieved']",tired,
hit:8195_conv:16390,disgusted,"['sad', ' disappointed', ' empathetic']",sad,
hit:9029_conv:18058,excited,"['excited', 'happy', 'grateful']",excited,1.0
hit:11072_conv:22145,lonely,"['sad', 'lonely', 'disappointed']",sad,2.0
hit:440_conv:880,devastated,"['disappointed', 'sad', 'guilty']",disappointed,
hit:5230_conv:10460,grateful,"['excited', 'happy', 'content']",excited,
hit:8983_conv:17966,disappointed,"['sad', ' surprised', ' disappointed']",sad,3.0
hit:907_conv:1814,afraid,"['afraid', 'surprised', 'annoyed']",afraid,1.0
hit:1016_conv:2033,nostalgic,"['sad', ' disappointed', ' angry']",sad,
hit:3299_conv:6598,apprehensive,"['angry', ' anxious', ' disgusted']",angry,
hit:4454_conv:8908,angry,"['annoyed', 'sad', 'comforting']",annoyed,
hit:6860_conv:13720,confident,"['excited', ' proud', ' impressed']",excited,
hit:10361_conv:20723,disappointed,"['disappointed', ' hopeful', ' excited']",disappointed,1.0
hit:11914_conv:23829,prepared,"['prepared', ' relieved', ' content']",prepared,1.0
hit:2365_conv:4730,apprehensive,"['anxious', ' hopeful', ' content']",anxious,
hit:5686_conv:11373,angry,"['angry', 'annoyed', 'surprised']",angry,1.0
hit:8921_conv:17842,disgusted,"['disgusted', 'annoyed', 'grateful']",disgusted,1.0
hit:10105_conv:20210,trusting,"['disappointed', ' sad', ' hopeful']",disappointed,
hit:2337_conv:4675,lonely,"['grateful', ' hopeful', ' content']",grateful,
hit:7330_conv:14660,anticipating,"['hopeful', ' content', ' grateful']",hopeful,
hit:10183_conv:20367,trusting,"['proud', ' hopeful', ' sad']",proud,
hit:1411_conv:2822,jealous,"['disappointed', 'sad', 'frustrated']",disappointed,
hit:3339_conv:6679,terrified,"['surprised', 'scared', 'annoyed']",surprised,
hit:7131_conv:14263,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:11298_conv:22597,apprehensive,"['sad', 'anxious', 'disappointed']",sad,
hit:5265_conv:10531,devastated,"['sad', ' nostalgic', ' hopeful']",sad,
hit:6889_conv:13779,anticipating,"['excited', ' hopeful', ' nostalgic']",excited,
hit:7354_conv:14709,proud,"['excited', ' joyful', ' proud']",excited,3.0
hit:929_conv:1859,angry,"['angry', 'surprised', 'disgusted']",angry,1.0
hit:1492_conv:2984,lonely,"['lonely', 'sad', ' hopeful']",lonely,1.0
hit:4944_conv:9889,prepared,"['anxious', ' anticipating', ' relieved']",anxious,
hit:5356_conv:10713,grateful,"['grateful', 'annoyed', 'surprised']",grateful,1.0
hit:6886_conv:13772,lonely,"['content', 'lonely', 'hopeful']",content,2.0
hit:11603_conv:23206,joyful,"['happy', ' excited', ' hopeful']",happy,
hit:11991_conv:23983,prepared,"['proud', ' excited', ' grateful']",proud,
hit:1925_conv:3851,hopeful,"['proud', ' hopeful', ' grateful']",proud,2.0
hit:6733_conv:13466,surprised,"['surprised', 'excited', 'curious']",surprised,1.0
hit:11880_conv:23761,faithful,"['proud', ' excited', ' grateful']",proud,
hit:1972_conv:3945,excited,"['excited', ' hopeful', ' joyful']",excited,1.0
hit:5339_conv:10678,nostalgic,"['nostalgic', 'hopeful', 'lonely']",nostalgic,1.0
hit:6821_conv:13642,anticipating,"['excited', 'hopeful', 'proud']",excited,
hit:7794_conv:15589,disgusted,"['disgusted', 'surprised', 'sad']",disgusted,1.0
hit:1886_conv:3773,hopeful,"['hopeful', ' content', ' grateful']",hopeful,1.0
hit:4985_conv:9971,hopeful,"['excited', 'hopeful', 'proud']",excited,2.0
hit:6623_conv:13247,surprised,"['surprised', ' afraid', ' proud']",surprised,1.0
hit:8854_conv:17709,anticipating,"['excited', 'hopeful', 'confident']",excited,
hit:1694_conv:3389,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:24_conv:49,excited,"['joyful', ' nostalgic', ' hopeful']",joyful,
hit:5443_conv:10887,devastated,"['angry', 'sad', 'frustrated']",angry,
hit:8176_conv:16352,ashamed,"['guilty', ' anxious', ' hopeful']",guilty,
hit:1880_conv:3761,nostalgic,"['joyful', 'nostalgic', 'excited']",joyful,2.0
hit:2931_conv:5862,terrified,"['terrified', ' surprised', ' angry']",terrified,1.0
hit:7477_conv:14955,terrified,"['afraid', 'angry', 'disgusted']",afraid,
hit:8115_conv:16231,furious,"['annoyed', ' angry', ' frustrated']",annoyed,
hit:8979_conv:17959,lonely,"['sad', ' nostalgic', ' hopeful']",sad,
hit:12138_conv:24276,caring,"['proud', ' grateful', ' hopeful']",proud,
hit:6368_conv:12737,disappointed,"['annoyed', 'proud', 'hopeful']",annoyed,
hit:6529_conv:13058,annoyed,"['sad', ' concerned', ' sympathetic']",sad,
hit:7405_conv:14810,sad,"['sad', 'nostalgic', 'grateful']",sad,1.0
hit:1892_conv:3784,sentimental,"['sentimental', ' content', ' proud']",sentimental,1.0
hit:4777_conv:9554,apprehensive,"['sad', ' afraid', ' surprised']",sad,
hit:7825_conv:15651,lonely,"['grateful', ' content', ' hopeful']",grateful,
hit:9798_conv:19597,furious,"['angry', 'sad', 'disgusted']",angry,
hit:11364_conv:22728,proud,"['proud', 'excited', 'grateful']",proud,1.0
hit:12046_conv:24093,confident,"['hopeful', ' anxious', ' overwhelmed']",hopeful,
hit:251_conv:503,confident,"['excited', ' proud', ' grateful']",excited,
hit:379_conv:758,excited,"['excited', ' proud', ' grateful']",excited,1.0
hit:10065_conv:20130,embarrassed,"['disappointed', ' sad', ' hopeful']",disappointed,
hit:4295_conv:8591,embarrassed,"['embarrassed', ' joyful', ' surprised']",embarrassed,1.0
hit:6847_conv:13694,lonely,"['lonely', ' sad', ' embarrassed']",lonely,1.0
hit:8058_conv:16116,hopeful,"['excited', 'anxious', 'hopeful']",excited,3.0
hit:1605_conv:3210,surprised,"['excited', ' surprised', ' grateful']",excited,2.0
hit:2399_conv:4799,surprised,"['surprised', 'sad', 'disappointed']",surprised,1.0
hit:2680_conv:5361,trusting,"['disappointed', ' angry', ' betrayed']",disappointed,
hit:3724_conv:7449,disgusted,"['disgusted', 'surprised', 'annoyed']",disgusted,1.0
hit:6092_conv:12184,content,"['content', 'jealous', 'hopeful']",content,1.0
hit:11015_conv:22031,apprehensive,"['excited', ' hopeful', ' grateful']",excited,
hit:12074_conv:24149,confident,"['proud', ' excited', ' confident']",proud,3.0
hit:6937_conv:13874,caring,"['grateful', ' proud', ' caring']",grateful,3.0
hit:9739_conv:19479,surprised,"['surprised', 'disappointed', 'hopeful']",surprised,1.0
hit:11624_conv:23248,anticipating,"['anxious', 'hopeful', 'content']",anxious,
hit:4643_conv:9287,anxious,"['anxious', 'nervous', 'prepared']",anxious,1.0
hit:4745_conv:9490,proud,"['proud', ' hopeful', ' impressed']",proud,1.0
hit:8657_conv:17315,disgusted,"['disgusted', 'surprised', 'annoyed']",disgusted,1.0
hit:2842_conv:5685,anticipating,"['excited', ' proud', ' hopeful']",excited,
hit:2941_conv:5883,ashamed,"['surprised', ' guilty', ' embarrassed']",surprised,
